host_elapsed_s,seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0.000000,0,2906184,-187.0100,-595.7000,-790.0400,-40.1800,8.6600,0.6100,34.9300
0.015000,1,2910796,-187.5000,-596.6800,-802.2500,-9.3900,2.5000,0.1200,35.0300
0.015000,2,2915155,-187.9900,-593.2600,-809.0800,-10.6700,3.1700,0.9100,34.7400
0.015000,3,2919520,-182.1300,-593.2600,-800.2900,-10.2400,3.3500,1.4600,34.8800
0.031000,4,2923875,-184.5700,-586.4300,-807.1300,-9.9400,3.1100,1.7100,34.6900
0.031000,5,2928229,-187.0100,-588.8700,-803.2200,-8.9000,3.1100,1.5900,34.8800
0.031000,6,2932576,-189.9400,-594.7300,-797.3600,-7.5600,3.0500,0.7900,34.8800
0.031000,7,2936934,-190.9200,-593.2600,-796.8700,-6.1000,2.2600,-0.5500,35.0700
0.047000,8,2941292,-187.0100,-593.7500,-800.2900,-4.5700,1.9500,-1.5900,34.9300
0.047000,9,2945656,-185.5500,-598.1400,-799.8000,-3.6600,1.5900,-2.2600,34.8800
0.047000,10,2950007,-187.0100,-599.6100,-795.9000,-2.7400,1.2800,-2.6800,34.4000
0.062000,11,2954363,-194.3400,-592.2900,-799.8000,-1.7100,1.2200,-2.9300,34.8800
0.062000,12,2958710,-194.3400,-594.7300,-793.4600,-1.2200,1.1600,-2.8700,34.9300
0.062000,13,2963069,-193.3600,-590.3300,-791.5000,-1.3400,0.6700,-2.7400,34.5000
0.062000,14,2967423,-194.8200,-586.9100,-794.4300,-2.4400,0.3000,-3.3500,34.6900
0.078000,15,2971790,-197.2700,-591.8000,-793.9500,-3.1100,0.1800,-3.6000,34.9300
0.078000,16,2976143,-189.4500,-594.2400,-789.5500,-4.5700,0.1800,-3.5400,34.9300
0.078000,17,2980512,-188.9600,-592.7700,-791.5000,-6.2200,0.0000,-3.4100,34.9300
0.078000,18,2984884,-190.4300,-593.7500,-792.9700,-8.3500,0.3000,-2.2000,34.9300
0.094000,19,2989252,-190.4300,-590.3300,-794.4300,-10.3000,0.4900,-0.5500,34.9300
0.094000,20,2993745,-191.8900,-588.3800,-797.3600,-12.3200,1.1600,1.1000,34.8800
0.094000,21,2998120,-193.8500,-590.3300,-801.2700,-13.9000,1.4000,2.3800,35.0300
0.109000,22,3002476,-193.8500,-594.7300,-808.1100,-14.9400,2.2600,2.2600,34.9300
0.109000,23,3006837,-196.2900,-596.1900,-815.9200,-14.8200,2.8000,2.0700,34.6900
