host_elapsed_s,seq,timestamp_us,ax_mg,ay_mg,az_mg,gx_dps,gy_dps,gz_dps,temp_c
0.000000,0,1144185,-663.0900,-686.0400,-288.0900,-3.6000,-2.9300,7.5000,33.6400
0.000000,1,1148783,-682.1300,-701.1700,-294.9200,-0.7300,-0.7900,1.0400,33.7800
0.000000,2,1153152,-671.8700,-685.0600,-293.9500,-1.2800,-0.7900,0.7900,33.3500
0.015000,3,1157510,-678.2200,-688.9600,-297.8500,-0.9100,-0.5500,0.5500,33.4400
0.015000,4,1161864,-679.6900,-691.4100,-295.9000,-0.6700,-0.6700,0.3000,33.8800
0.015000,5,1166219,-664.5500,-689.9400,-291.0200,-0.9800,-0.7300,-0.4900,33.6400
0.015000,6,1170572,-675.7800,-693.3600,-298.3400,-0.5500,-0.6100,-0.5500,33.6800
0.031000,7,1174939,-677.2500,-699.7100,-295.4100,-0.4300,-0.6700,-0.9100,33.4900
0.031000,8,1179297,-670.4100,-687.5000,-287.6000,-0.6100,-0.7900,-1.3400,33.6400
0.031000,9,1183654,-677.7300,-705.5700,-295.4100,-0.6100,-0.4300,-1.1600,33.7800
0.031000,10,1188015,-671.3900,-702.1500,-295.9000,-0.4300,-0.6100,-1.1000,33.7800
0.046000,11,1192509,-664.0600,-694.3400,-291.5000,-0.7300,-0.9100,-1.2800,33.6400
0.046000,12,1197006,-673.3400,-702.1500,-295.9000,-0.6100,-0.7300,-0.7300,33.6800
0.046000,13,1201502,-674.8000,-699.7100,-292.9700,-0.5500,-0.5500,-0.7900,33.8300
0.062000,14,1205997,-662.1100,-694.3400,-291.5000,-0.8500,-0.6700,-0.3700,33.6800
0.062000,15,1210493,-671.8700,-699.2200,-294.9200,-0.6700,-0.6100,0.3000,33.6800
0.062000,16,1214855,-674.3200,-704.5900,-292.4800,-0.9100,-0.6100,0.4300,33.3500
0.062000,17,1219214,-667.9700,-695.8000,-291.0200,-0.9800,-0.9100,0.8500,33.4900
0.078000,18,1223568,-674.8000,-701.1700,-296.8800,-1.0400,-0.7900,0.9100,33.5900
0.078000,19,1228030,-674.8000,-698.2400,-297.3600,-0.7300,-0.6100,1.2800,33.8800
0.078000,20,1232446,-667.4800,-687.5000,-289.0600,-1.1600,-0.7900,1.4000,33.8800
0.093000,21,1236827,-675.2900,-702.6400,-291.0200,-1.1600,-0.8500,1.1600,33.6800
0.093000,22,1241198,-675.2900,-698.7300,-292.4800,-0.9800,-0.6100,1.1600,33.8800
